Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,569,355,320.0,339.5247948998405,235.73089996352792,874.613800086081,430620.5694200352,9.623466377334578,6.004095894470607,320,340,370,380,460,610,680,710,870,870,870
GET,/celular,431,0,670.0,774.3323589296981,572.8233000263572,2117.118600057438,3045278.928074246,7.289479804272765,0.0,670,720,760,860,1200,1400,1500,1600,2100,2100,2100
GET,/celulares-telefones/celulares-smartphones/celular_PriceRange_1000,193,0,1100.0,1340.0115357600926,959.9466000217944,3060.398800065741,3038057.3316062177,3.264198613050217,0.0,1100,1300,1600,1600,2100,2200,2400,2600,3100,3100,3100
GET,/ofertas,331,0,1100.0,1127.5766951656617,922.8642999660224,1880.0383999478072,636922.3353474321,5.598185186112031,0.0,1100,1100,1200,1200,1300,1400,1600,1700,1900,1900,1900
GET,/smartphone-samsung-galaxy-a25-5g-256gb-8gb-ram-dual-sim-android-14-azul-escuro-65/p/MLB31498601,491,0,670.0,701.8011727004242,566.387299913913,1370.1707001309842,828294.7107942974,8.304256575169205,0.0,670,710,740,750,820,920,1100,1200,1400,1400,1400
,Aggregated,2015,355,670.0,746.0850338928781,235.73089996352792,3060.398800065741,1370420.5374689826,34.079586555938796,6.004095894470607,670,800,1000,1100,1200,1400,1700,2100,2400,3100,3100
