Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745609465,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745609466,10,,Aggregated,0.000000,0.000000,790,790,810,810,810,810,810,810,810,810,810,6,3,520.0,636.2202499682704,368.45379997976124,813.7041998561472,551317.1666666666
1745609467,20,,Aggregated,0.000000,0.000000,770,800,810,810,1200,1500,1500,1500,1500,1500,1500,13,5,770.0,713.6948538335183,362.2536000330001,1479.6267000492662,780888.1538461539
1745609468,30,,Aggregated,0.000000,0.000000,800,890,1200,1300,1500,2100,2400,2400,2400,2400,2400,28,8,800.0,876.5982678326379,267.9802000056952,2351.411300012842,1138562.107142857
1745609469,40,,Aggregated,4.000000,2.000000,780,820,1200,1200,1300,1500,2400,2400,2400,2400,2400,42,9,770.0,839.2233618900979,267.9802000056952,2351.411300012842,1224752.142857143
1745609470,50,,Aggregated,6.333333,2.000000,790,1200,1300,1300,1900,2300,2300,2400,2400,2400,2400,58,14,780.0,923.1836034410537,267.9802000056952,2351.411300012842,1373214.5
1745609471,60,,Aggregated,8.000000,2.250000,810,1200,1300,1400,1600,2200,2300,2400,2400,2400,2400,83,17,810.0,958.2951686692884,257.6073999516666,2351.411300012842,1309616.373493976
1745609472,70,,Aggregated,9.800000,2.200000,790,1200,1300,1400,1700,2100,2300,2300,2400,2400,2400,109,21,790.0,936.6129899115532,252.03450000844896,2351.411300012842,1373436.6605504588
1745609473,90,,Aggregated,11.000000,2.666667,790,1200,1300,1400,1700,2200,2300,2300,2400,2400,2400,135,25,790.0,949.674697773945,252.03450000844896,2351.411300012842,1354526.6148148149
1745609474,100,,Aggregated,13.428571,2.857143,780,1200,1300,1400,1700,2100,2300,2300,2400,2400,2400,169,32,780.0,940.8258946692383,251.0722998995334,2351.411300012842,1323836.426035503
1745609475,100,,Aggregated,15.000000,2.875000,800,1200,1300,1400,1600,2100,2300,2300,2400,2400,2400,211,41,800.0,949.0503521285227,251.0722998995334,2376.0507002007216,1307290.2322274882
1745609476,100,,Aggregated,16.000000,3.000000,800,1200,1300,1400,1600,2100,2300,2300,2400,2400,2400,244,44,800.0,937.6271954884554,251.0722998995334,2376.0507002007216,1283496.1147540985
1745609477,100,,Aggregated,17.900000,3.500000,790,1100,1300,1400,1600,2100,2300,2300,2400,2400,2400,273,49,790.0,926.7232794845102,250.02290005795658,2376.0507002007216,1259186.4578754578
1745609478,100,,Aggregated,22.400000,4.200000,780,1100,1200,1300,1600,1900,2200,2300,2400,2400,2400,315,58,780.0,905.991231425414,248.5024998895824,2376.0507002007216,1220778.6952380952
1745609479,100,,Aggregated,24.600000,4.100000,760,1100,1200,1300,1500,1900,2200,2300,2400,2400,2400,351,63,760.0,891.5192062642818,248.5024998895824,2376.0507002007216,1238798.4558404558
1745609480,100,,Aggregated,26.900000,4.700000,750,1000,1200,1300,1500,1900,2200,2300,2400,2400,2400,389,72,750.0,874.5556334153316,248.5024998895824,2376.0507002007216,1246156.9614395886
1745609481,100,,Aggregated,29.400000,4.900000,740,1000,1200,1300,1500,1900,2200,2300,3100,3100,3100,422,78,740.0,866.269756394871,248.0294001288712,3060.398800065741,1245632.6682464455
1745609482,100,,Aggregated,31.300000,5.500000,730,1000,1200,1200,1500,1800,2200,2300,3100,3100,3100,455,81,730.0,853.039344172454,248.0294001288712,3060.398800065741,1238509.9538461538
1745609483,100,,Aggregated,33.400000,5.900000,720,990,1100,1200,1500,1700,2200,2300,3100,3100,3100,494,85,720.0,845.8673957474191,244.8597999755293,3060.398800065741,1247407.7186234817
1745609484,100,,Aggregated,33.800000,6.000000,720,990,1100,1200,1500,1700,2200,2300,3100,3100,3100,528,89,720.0,842.2075204531817,244.8597999755293,3060.398800065741,1276790.0549242424
1745609485,100,,Aggregated,34.800000,6.000000,730,990,1100,1200,1500,1700,2200,2300,3100,3100,3100,562,92,720.0,844.4208448389843,244.8597999755293,3060.398800065741,1278754.1334519573
1745609486,100,,Aggregated,36.600000,5.800000,720,970,1100,1200,1500,1700,2200,2300,3100,3100,3100,600,97,720.0,838.1842074993377,244.8597999755293,3060.398800065741,1275198.2633333334
1745609487,100,,Aggregated,35.700000,5.500000,710,960,1100,1200,1400,1700,2200,2300,3100,3100,3100,639,102,710.0,829.0196474159139,244.8597999755293,3060.398800065741,1279971.7261345852
1745609488,100,,Aggregated,35.300000,5.400000,710,930,1100,1200,1400,1600,2200,2300,3100,3100,3100,677,108,710.0,819.6186605580234,244.8597999755293,3060.398800065741,1273473.9025110784
1745609489,100,,Aggregated,36.000000,5.400000,710,920,1100,1200,1400,1600,2100,2200,3100,3100,3100,714,117,710.0,813.6358410325449,244.8597999755293,3060.398800065741,1278725.37394958
1745609490,100,,Aggregated,36.500000,5.300000,710,960,1100,1200,1400,1600,2200,2300,3100,3100,3100,745,120,710.0,819.7279779843661,244.8597999755293,3060.398800065741,1281903.3073825503
1745609491,100,,Aggregated,35.900000,5.000000,710,960,1100,1100,1400,1600,2100,2300,3100,3100,3100,783,129,710.0,816.6069187721092,244.8597999755293,3060.398800065741,1290763.448275862
