Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,266,160,320.0,361.881208654206,237.4030000064522,905.724799958989,445287.0902255639,4.49238455794155,2.702186200265594,320,360,400,430,610,670,700,710,910,910,910
GET,/celular,236,0,660.0,754.8140508627866,568.429599981755,1599.5072999503464,3047921.36440678,3.9857246453917514,0.0,660,720,770,820,1200,1300,1300,1400,1600,1600,1600
GET,/celulares-telefones/celulares-smartphones/celular_PriceRange_1000,126,0,1200.0,1342.0789047358705,974.4806999806315,2855.1896000280976,3036044.4523809524,2.1279716327091553,0.0,1200,1400,1500,1600,2100,2200,2300,2500,2900,2900,2900
GET,/ofertas,170,0,1100.0,1104.967575298403,937.0835002046078,1980.3382998798043,604472.9235294118,2.8710728377821937,0.0,1100,1100,1200,1200,1300,1300,1600,1600,2000,2000,2000
GET,/smartphone-samsung-galaxy-a25-5g-256gb-8gb-ram-dual-sim-android-14-azul-escuro-65/p/MLB31498601,199,0,680.0,719.1327693427553,574.7305999975652,1490.9037000034004,820036.6180904523,3.360844086580333,0.0,680,720,760,770,850,990,1300,1400,1500,1500,1500
,Aggregated,997,160,690.0,776.7807105338946,237.4030000064522,2855.1896000280976,1490717.2447342025,16.837997760404985,2.702186200265594,690,970,1000,1100,1200,1400,1800,2200,2900,2900,2900
