Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745598030,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745598031,1,,Aggregated,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,1,355.4893000982702,355.4893000982702,355.4893000982702,355.4893000982702,260519.0
1745598032,3,,Aggregated,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,1,355.4893000982702,355.4893000982702,355.4893000982702,355.4893000982702,260519.0
1745598033,4,,Aggregated,0.000000,0.000000,370,370,1100,1100,1100,1100,1100,1100,1100,1100,1100,3,2,370.0,611.7557000834495,355.4893000982702,1113.3898000698537,356468.3333333333
1745598034,5,,Aggregated,0.500000,0.500000,810,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,5,2,810.0,753.1841001007706,355.4893000982702,1124.145100126043,500196.4
1745598035,6,,Aggregated,0.333333,0.333333,930,930,1100,1100,1100,1100,1100,1100,1100,1100,1100,6,2,810.0,783.2146834116429,355.4893000982702,1124.145100126043,566656.6666666666
1745598036,7,,Aggregated,0.333333,0.333333,930,930,1100,1100,1100,1100,1100,1100,1100,1100,1100,6,2,810.0,783.2146834116429,355.4893000982702,1124.145100126043,566656.6666666666
1745598037,8,,Aggregated,1.000000,0.400000,1100,1100,1200,1300,1500,1500,1500,1500,1500,1500,1500,9,2,1100.0,962.4823334161192,355.4893000982702,1515.2375001925975,894617.6666666666
1745598038,9,,Aggregated,1.000000,0.333333,1100,1200,1300,1300,1300,1500,1500,1500,1500,1500,1500,11,2,1100.0,982.0448273411868,355.4893000982702,1515.2375001925975,1090916.4545454546
1745598039,10,,Aggregated,0.857143,0.285714,1100,1300,1300,1500,2200,2600,2600,2600,2600,2600,2600,17,3,1100.0,1154.2106471024454,317.3740999773145,2607.5112000107765,1475974.2352941176
