Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,44,28,330.0,386.1322067942555,242.47250007465482,889.7977001033723,420725.88636363635,0.7457091998085321,0.474542218059975,330,410,480,490,610,650,890,890,890,890,890
GET,/celular,54,0,670.0,817.9410666753365,588.9283998403698,1946.298399940133,3034888.685185185,0.9151885634013803,0.0,680,740,810,910,1300,1600,1900,1900,1900,1900,1900
GET,/celulares-telefones/celulares-smartphones/celular_PriceRange_1000,16,0,1600.0,1600.8519062888809,1008.8099001441151,2607.5112000107765,3024989.75,0.27116698174855713,0.0,1600,1600,2100,2100,2200,2600,2600,2600,2600,2600,2600
GET,/ofertas,44,0,1100.0,1089.4416091085243,965.2178001124412,1429.1095999069512,607966.0227272727,0.7457091998085321,0.0,1100,1100,1100,1100,1200,1200,1400,1400,1400,1400,1400
GET,/smartphone-samsung-galaxy-a25-5g-256gb-8gb-ram-dual-sim-android-14-azul-escuro-65/p/MLB31498601,38,0,680.0,738.8708316047039,594.9222000781447,1272.6584000047296,828011.2368421053,0.6440215816528232,0.0,680,740,770,800,1000,1100,1300,1300,1300,1300,1300
,Aggregated,196,28,720.0,830.5346306213843,242.47250007465482,2607.5112000107765,1474544.3673469387,3.321795526419825,0.474542218059975,720,1000,1100,1100,1300,1600,2100,2200,2600,2600,2600
