Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745604406,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745604407,5,,Aggregated,0.000000,0.000000,980,980,980,980,980,980,980,980,980,980,980,2,0,880.0,929.1100499685854,879.3891000095755,978.8309999275953,886580.5
1745604408,10,,Aggregated,0.000000,0.000000,980,980,1300,1300,1300,1300,1300,1300,1300,1300,1300,6,1,880.0,941.999233327806,334.70800006762147,1335.2840000297874,1099982.6666666667
1745604409,15,,Aggregated,0.000000,0.000000,1100,1300,1300,1300,1600,2200,2200,2200,2200,2200,2200,12,2,980.0,1078.28196665893,334.70800006762147,2196.0527999326587,1468152.9166666667
1745604410,20,,Aggregated,3.000000,0.500000,980,1300,1300,1300,1600,2200,2200,2200,2200,2200,2200,20,4,880.0,963.2044400088489,279.42810021340847,2196.0527999326587,1370077.95
1745604411,25,,Aggregated,3.000000,0.500000,970,1200,1300,1300,1600,2200,2300,2300,2300,2300,2300,27,5,970.0,984.1792111078071,256.96499994955957,2278.4788999706507,1347358.037037037
1745604412,35,,Aggregated,4.750000,1.000000,1100,1200,1300,1300,1600,2200,2300,2300,2300,2300,2300,38,6,1000.0,1038.3592263035673,256.96499994955957,2278.4788999706507,1395184.2105263157
1745604413,40,,Aggregated,5.400000,1.000000,1100,1200,1300,1300,1600,2200,2200,2300,2300,2300,2300,51,7,1100.0,1039.1095098080662,253.71309998445213,2278.4788999706507,1534381.3725490195
1745604414,45,,Aggregated,5.400000,1.000000,1000,1200,1300,1300,1600,2200,2300,2300,2300,2300,2300,68,10,1000.0,1031.2825779512743,253.71309998445213,2278.4788999706507,1479980.4852941176
1745604415,50,,Aggregated,7.142857,1.000000,990,1200,1300,1300,1600,2200,2300,2500,2500,2500,2500,82,12,980.0,1007.2560865977189,253.71309998445213,2457.5179999228567,1452058.536585366
1745604416,50,,Aggregated,8.500000,1.250000,970,1100,1300,1300,1600,2200,2300,2500,2500,2500,2500,98,15,970.0,976.5478173574927,253.71309998445213,2457.5179999228567,1442205.4081632653
1745604417,50,,Aggregated,8.888889,1.222222,960,1100,1300,1300,1400,2100,2300,2300,2500,2500,2500,122,18,880.0,955.2964688599354,247.96710000373423,2457.5179999228567,1480988.7786885246
1745604418,50,,Aggregated,9.700000,1.500000,860,1100,1300,1300,1600,2200,2300,2500,2900,2900,2900,140,19,820.0,959.3291228620468,247.96710000373423,2855.1896000280976,1502401.9357142858
1745604419,50,,Aggregated,11.900000,1.800000,810,1100,1200,1300,1600,2200,2300,2500,2900,2900,2900,151,22,810.0,940.8600423885941,247.96710000373423,2855.1896000280976,1465552.8940397352
1745604420,50,,Aggregated,13.100000,1.800000,780,1100,1200,1300,1400,2100,2300,2500,2900,2900,2900,177,24,780.0,917.913292096612,247.96710000373423,2855.1896000280976,1550962.7005649717
1745604421,50,,Aggregated,13.700000,1.900000,780,1100,1200,1300,1400,2100,2300,2500,2900,2900,2900,193,27,780.0,911.7216932698312,247.96710000373423,2855.1896000280976,1545307.202072539
1745604422,50,,Aggregated,13.700000,1.900000,770,1100,1200,1200,1400,2100,2200,2300,2900,2900,2900,206,34,770.0,892.993997581285,246.20799999684095,2855.1896000280976,1486455.8786407767
1745604423,50,,Aggregated,16.400000,2.200000,750,1000,1100,1200,1400,1900,2200,2300,2900,2900,2900,236,38,750.0,869.7831868756389,246.20799999684095,2855.1896000280976,1509139.5211864407
1745604424,50,,Aggregated,17.000000,2.800000,730,1000,1100,1200,1300,1700,2200,2300,2900,2900,2900,256,44,730.0,846.1454714934007,246.20799999684095,2855.1896000280976,1482564.26171875
1745604425,50,,Aggregated,18.400000,3.100000,720,990,1100,1200,1300,1600,2200,2300,2900,2900,2900,273,49,720.0,834.4499329744664,246.20799999684095,2855.1896000280976,1485411.161172161
1745604426,50,,Aggregated,18.400000,3.300000,720,990,1100,1200,1300,1600,2200,2300,2900,2900,2900,290,51,720.0,830.8900841455586,246.20799999684095,2855.1896000280976,1478024.927586207
1745604427,50,,Aggregated,18.900000,3.700000,720,990,1100,1200,1300,1600,2200,2300,2900,2900,2900,308,54,720.0,829.9921529288948,237.4030000064522,2855.1896000280976,1489037.5487012987
1745604428,50,,Aggregated,18.800000,3.600000,710,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,325,55,710.0,823.9050676996031,237.4030000064522,2855.1896000280976,1490028.6923076923
1745604429,50,,Aggregated,18.400000,3.500000,710,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,346,57,710.0,823.2670422028374,237.4030000064522,2855.1896000280976,1488796.4132947978
1745604430,50,,Aggregated,18.500000,3.600000,700,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,363,63,700.0,817.8963173615692,237.4030000064522,2855.1896000280976,1483106.9173553719
1745604431,50,,Aggregated,19.400000,3.500000,710,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,381,67,710.0,819.6336196923721,237.4030000064522,2855.1896000280976,1484903.3700787402
1745604432,50,,Aggregated,18.300000,3.700000,710,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,399,69,710.0,816.4076002578445,237.4030000064522,2855.1896000280976,1494348.1854636592
1745604433,50,,Aggregated,18.500000,3.900000,710,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,416,71,710.0,818.5158408719312,237.4030000064522,2855.1896000280976,1506741.4350961538
1745604434,50,,Aggregated,19.200000,3.500000,700,980,1100,1100,1300,1600,2200,2300,2900,2900,2900,435,74,700.0,813.0631742592174,237.4030000064522,2855.1896000280976,1516955.836781609
1745604435,50,,Aggregated,19.200000,3.500000,700,970,1100,1100,1300,1600,2200,2300,2900,2900,2900,450,78,700.0,808.9092335611996,237.4030000064522,2855.1896000280976,1516721.6577777779
1745604436,50,,Aggregated,18.000000,3.100000,700,970,1100,1100,1300,1600,2200,2300,2900,2900,2900,472,82,700.0,805.4562152587312,237.4030000064522,2855.1896000280976,1510097.3983050848
1745604437,50,,Aggregated,18.100000,3.000000,700,970,1100,1100,1300,1600,2200,2300,2900,2900,2900,487,82,700.0,805.4706088345674,237.4030000064522,2855.1896000280976,1505690.3675564681
1745604438,50,,Aggregated,18.500000,2.900000,700,970,1100,1100,1300,1600,2200,2200,2900,2900,2900,505,86,700.0,802.3337209966071,237.4030000064522,2855.1896000280976,1509830.287128713
1745604439,50,,Aggregated,18.000000,2.900000,700,980,1100,1100,1300,1600,2200,2200,2900,2900,2900,525,86,700.0,806.973821719044,237.4030000064522,2855.1896000280976,1496256.7504761906
1745604440,50,,Aggregated,17.800000,3.000000,700,980,1100,1100,1300,1600,2200,2200,2900,2900,2900,543,88,700.0,805.0293261554044,237.4030000064522,2855.1896000280976,1495659.0220994474
1745604441,50,,Aggregated,17.700000,3.000000,700,980,1100,1100,1300,1600,2100,2200,2900,2900,2900,563,90,700.0,805.6374223854023,237.4030000064522,2855.1896000280976,1490879.8454706927
1745604442,50,,Aggregated,17.700000,2.700000,710,980,1100,1100,1300,1500,2100,2200,2900,2900,2900,581,94,710.0,804.9970106762736,237.4030000064522,2855.1896000280976,1486614.3614457832
