Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2067,1712,30,160.88229535567928,22.03460014425218,1347.4002999719232,186636.7489114659,34.85273793361488,28.866902439452677,30,260,300,330,390,470,600,710,1100,1300,1300
GET,/celular,1721,1044,32,340.81865711917453,21.952599985525012,2071.3116000406444,1182514.987797792,29.018656015361014,17.60341480536717,32,600,650,700,850,1300,1400,1500,2100,2100,2100
GET,/celulares-telefones/celulares-smartphones/celular_PriceRange_1000,819,484,39,606.37817594424,22.477699909359217,2924.200299894437,1221111.7191697191,13.809575407658729,8.160970082181715,39,1100,1100,1200,1600,2200,2300,2400,2900,2900,2900
GET,/ofertas,1244,730,31,655.8537036182368,22.158500039950013,3055.178000126034,263668.37379421224,20.975716492219117,12.308901157009611,31,1100,1400,1500,1800,2100,2300,2500,3000,3100,3100
GET,/smartphone-samsung-galaxy-a25-5g-256gb-8gb-ram-dual-sim-android-14-azul-escuro-65/p/MLB31498601,1675,1002,30,312.92606650726566,22.264699917286634,1349.883500020951,334976.82925373135,28.243026627385067,16.89523145112826,30,620,680,700,790,870,1000,1100,1300,1300,1300
,Aggregated,7526,4972,31,366.16389957499035,21.952599985525012,3055.178000126034,572690.2203029498,126.89971247623882,83.83541993513944,31,340,640,710,1100,1500,1900,2200,2800,3100,3100
